"Extension","Category","Format","Developer","Mime Type","Programming Language"
".pem","Web Files","Text","Not Available","mime-type/not.available","Not Found"
".pot","Data Files","Binary","Microsoft","application/mspowerpoint","Gettext Catalog"
".ps","Vector Image Files","Binary","Adobe","application/postscript","PostScript"
".r","Developer Files","Text","REBOL Technologies","mime-type/not.available","Rebol"
".raw","Game Files","Not Available","Not Available","mime-type/not.available","Raw token data"
".rc","Developer Files","Text","Microsoft","mime-type/not.available","Not Found"
".s","Developer Files","Text","Not Available","text/x-asm","GAS"
".server","Executable Files","Text","MySQL","application/java-serialized-object","Not Found"
".sis","Misc Files","Binary","Symbian","application/vnd.symbian.install","Not Found"
".svg","Game Files","Not Available","Not Available","text/x-asm","SVG"
".vcs","Data Files","Not Available","Not Available","text/x-vcalendar","Not Found"
".xhtm","Web Files","XML","Not Available","mime-type/not.available","Not Found"
".xpi","Plugin Files","Zip","Mozilla","application/x-xpinstall","Not Found"
".add","Misc Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".awm","Web Files","Binary","Likno Software","application/applixware","Not Found"
".b","Common File Types","Binary","Rockstar Games","mime-type/not.available","Limbo"
".bml","Web Files","Not Available","Not Available","mime-type/not.available","Not Found"
".ca","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".cache","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".diff","Developer Files","Text","Matt Mackall","mime-type/not.available","Diff"
".email","Misc Files","Text and Binary","Microsoft","mime-type/not.available","Not Found"
".hml","Data Files","Not Available","KS-Soft","mime-type/not.available","Not Found"
".hqx","Common File Types","Text","BinHex","application/mac-binhex40","Not Found"
".htx","Web Files","Not Available","Microsoft","text/html","Not Found"
".i","Developer Files","Binary","Microsoft","mime-type/not.available","Not Found"
".jpe","Raster Image Files","Binary","Joint Photographic Experts Group","image/jpeg","Not Found"
".jspf","Developer Files","Text","Oracle","application/javascript","Not Found"
".mp2","Game Files","Not Available","New World Computing","audio/mpeg","Not Found"
".mspx","Web Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".mv","Developer Files","Text","Miva Merchant","video/x-sgi-movie","Not Found"
".ocx","Developer Files","Binary","Microsoft","mime-type/not.available","Not Found"
".pad","Misc Files","Not Available","The Sage Group","mime-type/not.available","Not Found"
".pages","Common File Types","Zip","Apple","text/x-pascal","Not Found"
".pdb","Data Files","Not Available","Tanida","text/x-pascal","Not Found"
".pvk","Misc Files","Text","Microsoft","mime-type/not.available","Not Found"
".run","Game Files","Not Available","Human Head Studios","mime-type/not.available","Not Found"
".sdb","3D Image Files","Not Available","Computers and Structures","mime-type/not.available","Not Found"
".ser","Data Files","Not Available","Applied Biosystems","text/x-asm","Not Found"
".smi","Video Files","Not Available","Not Available","application/vnd.stepmania.stepchart","Not Found"
".ste","Settings Files","XML","Adobe","application/vnd.sailingtracker.track","Not Found"
".torrent","Misc Files","Binary","BitTorrent","text/troff","Not Found"
".v","Developer Files","Text","ADT Coq","mime-type/not.available","Verilog"
".wmf","Game Files","Binary","The Widelands Development Team","video/x-ms-wm","Not Found"
".wpd","Text Files","Not Available","The Sage Group","application/vnd.wordperfect","Not Found"
".ws","Game Files","Binary","Not Available","mime-type/not.available","Not Found"
".y","Developer Files","Text","Stephen C Johnson","mime-type/not.available","Yacc"
".z","Compressed Files","Binary","Not Available","application/x-compress","Not Found"
".app","Game Files","Not Available","Not Available","mime-type/not.available","Not Found"
".asd","Audio Files","Not Available","Ableton","mime-type/not.available","Common Lisp"
".asm","Data Files","Binary","Parametric Technology","text/x-asm","Assembly"
".assets","Game Files","Not Available","Unity Technologies","mime-type/not.available","Not Found"
".bad","Text Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".bak2","Game Files","Not Available","Chucklefish","mime-type/not.available","Not Found"
".cc","Developer Files","Text","Not Available","text/plain","C++"
".cdr","Data Files","Not Available","Bosch","mime-type/not.available","Not Found"
".copy","Audio Files","Not Available","Not Available","text/x-c","Not Found"
".cp","Developer Files","Not Available","Apple","mime-type/not.available","Component Pascal"
".dbf","Data Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".deb","Common File Types","Binary","Debian","application/x-debian-package","Not Found"
".dic","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".divx","Video Files","Binary","DivX","mime-type/not.available","Not Found"
".download","Web Files","Text and Binary","Not Available","mime-type/not.available","Not Found"
".epub","eBook Files","Zip","IDPF","application/epub+zip","Not Found"
".err","Misc Files","Text","Autodesk","mime-type/not.available","Not Found"
".xlt","Data Files","Binary","Microsoft","application/excel","Not Found"
".es","Data Files","Not Available","Psychology Software Tools","application/ecmascript","JavaScript"
".grp","Data Files","Binary","SmarterTools","mime-type/not.available","Not Found"
".xm","Audio Files","Not Available","Fasttracker","audio/xm","Logos"
".image","Disk Image Files","Not Available","Not Available","mime-type/not.available","Not Found"
".xqy","Developer Files","Text","The W3C XML Query Working Group","mime-type/not.available","XQuery"
".j","Developer Files","Text","Oracle","mime-type/not.available","Objective-J"
".xst","Settings Files","XML","IBM","mime-type/not.available","Not Found"
".jspx","Web Files","XML","Not Available","application/javascript","Not Found"
".xsx","Developer Files","XML","Microsoft","mime-type/not.available","Not Found"
".link","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".mbox","Text Files","Text","Not Available","application/mbox","Not Found"
".zhtml","Web Files","Not Available","Winferno Software","mime-type/not.available","Not Found"
".mod","Audio Files","Not Available","Not Available","audio/mod","XML"
".off","3D Image Files","Text","Not Available","mime-type/not.available","Not Found"
".prg","Audio Files","Binary","Akai Professional","mime-type/not.available","xBase"
".pwd","Text Files","Binary","Microsoft","text/x-pascal","Not Found"
".pyc","Executable Files","Not Available","Python Software Foundation","application/x-bytecode.python","Not Found"
".red","CAD Files","Not Available","Tailor Made Software","mime-type/not.available","Red"
".se","Text Files","Text","Not Available","text/x-asm","Not Found"
".sea","Compressed Files","Binary","Smith Micro","application/sea","Not Found"
".sema","Misc Files","Not Available","Secured eMail","application/vnd.sema","Not Found"
".session","Text Files","Not Available","Zeniko","text/x-asm","Not Found"
".setup","Developer Files","Not Available","Crytek","mime-type/not.available","Not Found"
".sitx","Common File Types","Binary","Smith Micro","text/x-asm","Not Found"
".smil","Video Files","Text","SYMM Working Group","application/vnd.stepmania.stepchart","Not Found"
".swi","Video Files","Not Available","SWiSHzone com","application/vnd.aristanetworks.swi","Not Found"
".swp","Misc Files","Binary","Bill Joy","mime-type/not.available","Not Found"
".sxw","Text Files","Binary","Oracle","text/x-asm","Not Found"
".temp","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".top","Data Files","Text","Gromacs","mime-type/not.available","Not Found"
".url","Web Files","Text","Not Available","mime-type/not.available","Not Found"
".vspscc","Developer Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".vssscc","Developer Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".w","Misc Files","Text","Google","mime-type/not.available","C"
".work","Settings Files","Not Available","Bibble Labs","mime-type/not.available","Not Found"
".wvx","Video Files","Not Available","Microsoft","video/x-ms-wvx","Not Found"
".xspf","Audio Files","XML","Not Available","application/xspf+xml","Not Found"
".sim","Data Files","Not Available","Not Available","mime-type/not.available","Not Found"
".accdb","Common File Types","Zip","Microsoft","application/vnd.americandynamics.acc","Not Found"
